Time,SecSinceStart,redTime,latitude,longitude,speed,altitude,Avg_x,Avg_y,Avg_z
2015-12-23 00:00:43,43.4471828937531,43,51.909330692,-1.148663471,39.0959987652,39.0959987652,-6.44314335980392e-002,-0.980098051176471,0.146850735519608
2015-12-23 00:00:44,44.4471819400787,44,51.909412332,-1.148587363,39.7079990388,39.7079990388,-4.92469937156863e-002,-0.983766892411765,0.155735539421569
2015-12-23 00:00:45,45.4471819400787,45,51.909502102,-1.148516703,40.8240005508,40.8240005508,-5.92283361078431e-002,-0.976913302578431,0.188239602431373
2015-12-23 00:00:46,46.4471819400787,46,51.909587765,-1.148439758,40.751998902,40.751998902,-7.30468152156862e-002,-0.974102095088235,0.183997060745098
2015-12-23 00:00:47,47.4471819400787,47,51.909674434,-1.148355519,41.9399986284,41.9399986284,-5.66329955784314e-002,-0.976091272696078,0.171304740215686
2015-12-23 00:00:47,47.9242169857025,48,51.909674434,-1.148355519,41.9399986284,41.9399986284,-5.66329955784314e-002,-0.976091272696078,0.171304740215686
2015-12-23 00:00:48,48.4471819400787,48,51.909765336,-1.148274047,42.048001098,42.048001098,-5.81858017647059e-002,-0.983161178294118,0.161218680617647
2015-12-23 00:00:49,49.4471819400787,49,51.909865332,-1.148202801,42.8759994492,42.8759994492,-6.1637429617647e-002,-0.977647370009804,0.132948333137255
2015-12-23 00:00:50,50.4471819400787,50,51.909965328,-1.148138512,41.148001098,41.148001098,-8.93696804313725e-002,-0.986920973843137,9.07743865490196e-002
2015-12-23 00:00:51,51.4471819400787,51,51.9100525,-1.148062069,40.2120002736,40.2120002736,-6.75668155588235e-002,-0.992601432039216,0.100162730470588
2015-12-23 00:00:52,52.4471819400787,52,51.910133637,-1.147986213,38.2680004104,38.2680004104,-8.60677980784314e-002,-0.987616146313725,0.131668389960784
2015-12-23 00:00:53,53.4471819400787,53,51.910216115,-1.147918571,39.816001512,39.816001512,-7.88270524757282e-002,-0.969382573097088,0.189048100485437
2015-12-23 00:00:54,54.4471828937531,54,51.910306304,-1.147851348,41.2920009612,41.2920009612,-6.4490075245098e-002,-0.978172302245098,0.192157520941176
