timestamp,x,y,z
1450096139.094342,-0.067977905,-1.023605347,0.197952271
1450096139.104139,-0.098983765,-1.046951294,0.264739990
1450096139.113937,-0.069900513,-1.167098999,0.310623169
1450096139.123728,-0.021453857,-1.096420288,0.083847046
1450096139.133530,0.045440674,-1.029800415,-0.088806152
1450096139.143327,0.084701538,-1.101669312,-0.032958984
1450096139.153126,0.093200684,-1.075469971,0.187850952
1450096139.162899,0.082901001,-0.880233765,0.233489990
1450096139.172719,0.086029053,-0.969787598,0.037445068
1450096139.182517,0.085083008,-0.992858887,-0.096038818
1450096139.192314,0.071350098,-1.086898804,0.003295898
1450096139.202085,0.007766724,-1.031539917,0.255859375
1450096139.211905,-0.001388550,-1.163482666,0.259246826
1450096139.221678,-0.041503906,-0.959991455,0.110855103
1450096139.231498,-0.030609131,-0.885055542,0.029937744
1450096139.241267,0.032516479,-0.932617188,0.106597900
1450096139.251085,0.105606079,-0.931732178,0.055557251
1450096139.260860,0.150039673,-0.973678589,-0.004989624
1450096139.270683,0.124542236,-1.027404785,0.065658569
1450096139.280457,0.063858032,-1.027557373,0.120651245
1450096139.290277,-0.020156860,-1.131469727,0.226043701
1450096139.300055,-0.080017090,-0.968368530,0.118820190
1450096139.309873,-0.065109253,-0.933380127,0.048110962
1450096139.319653,0.010223389,-0.955093384,0.078430176
1450096139.329468,0.069961548,-1.015502930,0.157608032
1450096139.339247,0.038269043,-1.045822144,0.294769287
1450096139.349062,-0.036804199,-1.112655640,0.258682251
1450096139.358860,-0.129547119,-0.916564941,0.081817627
1450096139.368659,-0.105010986,-0.919082642,-0.078979492
1450096139.378449,-0.021209717,-0.943435669,0.127746582
1450096139.388215,0.104843140,-0.995681763,0.329101562
1450096139.397993,0.152862549,-0.959045410,0.260330200
1450096139.407809,0.114044189,-0.967941284,0.100051880
1450096139.417588,0.014907837,-1.027420044,0.027450562
1450096139.427380,-0.147918701,-0.876007080,0.129562378
1450096139.437181,-0.224838257,-0.954742432,0.238906860
1450096139.446994,-0.209411621,-0.921722412,0.179443359
1450096139.456792,-0.070892334,-0.942977905,0.029205322
1450096139.466588,0.059585571,-0.865753174,0.072204590
1450096139.476383,0.168258667,-1.036056519,0.185684204
1450096139.486180,0.152664185,-0.976898193,0.235946655
1450096139.495975,0.065887451,-0.985382080,0.185501099
1450096139.505772,-0.061309814,-1.024536133,0.124542236
1450096139.515571,-0.162124634,-0.903854370,0.014297485
1450096139.525371,-0.188949585,-0.867187500,0.064407349
1450096139.535170,-0.118545532,-0.981811523,0.212585449
1450096139.544969,-0.027236938,-0.994369507,0.232955933
1450096139.554765,0.020187378,-0.931350708,0.133300781
1450096139.564563,0.024703979,-1.008926392,0.034240723
1450096139.574358,-0.063232422,-0.866561890,0.137100220
1450096139.584157,-0.124603271,-0.979904175,0.170211792
1450096139.593951,-0.197097778,-0.951965332,0.148086548
1450096139.603745,-0.200317383,-1.052947998,0.050598145
1450096139.613546,-0.181671143,-0.859283447,0.040405273
1450096139.623341,-0.093856812,-1.061676025,0.110031128
1450096139.633137,-0.035095215,-0.941635132,0.140747070
1450096139.642933,0.000976562,-0.984039307,0.179916382
1450096139.652729,-0.034698486,-1.014617920,0.150634766
1450096139.662524,-0.121307373,-1.018600464,0.086212158
1450096139.672318,-0.190811157,-1.014648438,0.028060913
1450096139.682111,-0.222869873,-1.033477783,0.095932007
1450096139.691909,-0.134597778,-1.106369019,0.184249878
1450096139.701705,-0.053634644,-0.941894531,0.225265503
1450096139.711503,0.076217651,-0.982803345,0.062194824
1450096139.721298,0.151123047,-1.034378052,0.019897461
1450096139.731078,0.148590088,-1.067489624,0.100601196
1450096139.740886,0.052993774,-1.003097534,0.231369019
1450096139.750683,-0.070343018,-1.040008545,0.148178101
1450096139.760478,-0.153152466,-0.991287231,0.016250610
1450096139.770277,-0.170959473,-1.026672363,0.102401733
1450096139.780066,-0.091522217,-1.019805908,0.181274414
1450096139.789871,0.007934570,-0.921096802,0.161346436
1450096139.799663,0.125915527,-1.064575195,0.082717896
1450096139.809464,0.134063721,-1.024917603,0.091674805
1450096139.819248,0.090713501,-0.892166138,-0.060745239
1450096139.829057,-0.012313843,-1.045700073,0.036026001
1450096139.838848,-0.068450928,-1.084182739,0.097396851
1450096139.848650,-0.125885010,-0.985015869,0.313629150
1450096139.858439,-0.094985962,-0.930038452,0.232803345
1450096139.868246,-0.013717651,-0.955307007,-0.066131592
1450096139.878026,0.092941284,-0.964157104,-0.119964600
1450096139.887841,0.145645142,-1.046096802,0.165390015
1450096139.897619,0.132141113,-0.985824585,0.293991089
1450096139.907427,0.091735840,-0.922286987,0.149765015
1450096139.917207,0.011993408,-0.855468750,-0.067962646
1450096139.927029,-0.022354126,-1.022781372,-0.038055420
1450096139.936828,-0.064437866,-0.907028198,0.217422485
1450096139.946625,-0.037063599,-1.006118774,0.273880005
1450096139.956423,-0.005004883,-0.994979858,0.129684448
1450096139.966223,0.057250977,-0.994674683,-0.052902222
1450096139.976020,0.041152954,-0.897781372,0.140380859
1450096139.985818,0.053253174,-1.002639771,0.229202271
1450096139.995613,0.019638062,-0.925094604,0.170074463
1450096140.005409,0.024749756,-0.966247559,-0.014404297
1450096140.015206,0.035110474,-0.998001099,0.038528442
1450096140.025002,0.059112549,-0.943954468,0.162979126
1450096140.034801,0.080291748,-1.024734497,0.242614746
1450096140.044595,0.080108643,-0.921600342,0.160659790
1450096140.054394,0.066757202,-1.113113403,0.053329468
1450096140.064190,-0.043472290,-0.966842651,0.079925537
1450096140.073987,-0.147628784,-0.942489624,0.140991211
1450096140.083768,-0.218933105,-0.916381836,0.195404053
1450096140.093579,-0.194396973,-1.044799805,0.140899658
1450096140.103378,-0.152908325,-0.967407227,0.114334106
1450096140.113173,-0.078262329,-0.947647095,0.093399048
1450096140.122947,-0.032012939,-1.025131226,0.125259399
1450096140.132744,0.010650635,-1.091506958,0.074752808
1450096140.142538,-0.036056519,-1.033432007,0.172637939
1450096140.152359,-0.114044189,-0.873504639,0.197525024
1450096140.162153,-0.152557373,-1.032440186,0.175598145
1450096140.171952,-0.188140869,-0.900192261,0.019134521
1450096140.181751,-0.181442261,-0.953842163,0.043304443
1450096140.191549,-0.100311279,-1.020645142,0.201370239
